HAGR_ID,Organism_Family,Organism_Genus,Organism_Species,Organism_Common_Name,Female_Maturity_in_Days,Male_Maturity_in_Days,Maximum_Longevity_Years,Body_Mass_in_Grams,Temperature_in_Kelvin
3,Daphniidae,Daphnia,pulicaria,Daphnia,,,0.19,,
5,Drosophilidae,Drosophila,melanogaster,Fruit fly,7,7,0.3,,
6,Apidae,Apis,mellifera,Honey bee,,,8,,
8,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,,,0.5,,
9,Formicidae,Lasius,niger,Black garden ant,,,28,,
10,Formicidae,Pheidole,dentata,Pheidole dentata,,,0.4,,
11,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15,15,0.5,,
12,Nephropidae,Homarus,americanus,American lobster,,,100,,
15,Bombinatoridae,Bombina,bombina,Firebelly toad,1095,1095,20,,
16,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,,,15.8,,
17,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,,,29,,
18,Bufonidae,Anaxyrus,americanus,American toad,910,910,36,21.6,288
19,Bufonidae,Anaxyrus,boreas,Western toad,1095,1095,11.5,,
20,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825,1460,15,,
21,Bufonidae,Anaxyrus,cognatus,Great plains toad,730,730,10.7,,
22,Bufonidae,Anaxyrus,debilis,Green toad,,,12.4,,
23,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730,730,13.3,,
24,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730,730,11.3,,
25,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,,,15.3,,
26,Bufonidae,Anaxyrus,terrestris,Southern toad,,,10,19.2,288
27,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,,,10,,
28,Bufonidae,Bufo,bufo,Common European toad,1460,1460,40,,
29,Bufonidae,Incilius,alvarius,Colorado river toad,,1095,15.4,,
30,Bufonidae,Nectophrynoides,asperginis,Kihansi spray toad,,,5,,
31,Bufonidae,Peltophryne,lemur,Ridge-headed toad,,,10.7,,
32,Bufonidae,Peltophryne,peltocephala,Cuban toad,,,20,,
33,Bufonidae,Pseudepidalea,viridis,European green toad,,,11.9,,
34,Bufonidae,Rhaebo,blombergi,Colombian giant toad,,,28.7,,
35,Bufonidae,Rhinella,arenarum,Argentine toad,,,,,
36,Bufonidae,Rhinella,marina,Cane toad,365,365,24.8,105,293
37,Bufonidae,Rhinella,schneideri,Eurura toad,,,15.1,,
38,Ceratophryidae,Ceratophrys,aurita,Common horned frog,,,12.8,,
39,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,,,15.9,,
40,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,,,10.3,,
41,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,,,14.7,,
42,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365,365,20.5,,
43,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75,75,11.5,,
44,Dendrobatidae,Dendrobates,tinctorius,Blue poison-dart frog,,,,,
45,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,,,9.1,,
46,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog,,,7.5,,
47,Dendrobatidae,Phyllobates,vittatus,Golfo dulce poison-dart frog,304,304,,,
48,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,,,10.9,,
49,Hylidae,Acris,blanchardi,Blanchard's cricket frog,,,,,
50,Hylidae,Acris,crepitans,Northern cricket frog,,,4.9,,
51,Hylidae,Agalychnis,callidryas,Red-eyed tree frog,,,,,
52,Hylidae,Agalychnis,spurrelli,Maroon-eyed tree frog,,,5.5,,
53,Hylidae,Diaglena,spatulata,Treefrog,,,12.8,,
54,Hylidae,Hyla,arborea,European tree frog,,,22,,
55,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,730,547,7.8,,
