course,code,language,semester,ects,type,topic
Advanced International Trade A: Neoclassical Trade Theories,EI-080,english,Autumn,3,elective,trade
Advanced International Trade A: New Trade Theories,EI-081,english,Autumn,3,elective,trade
Advocacy for Policy Change,MINT-181,english,Autumn,3,elective,other
AI and Politics,MINT-2272,english,Autumn,3,elective,other
AI and Politics,MINT-2271,english,Autumn,3,elective,other
An International History of Racism,HI-123,english,Autumn,6,elective,inequality
Anthropological Perspectives on Reproductive Politics in the 21st Century,ANSO-099,english,Autumn,6,elective,other
Anthropologie francophone: De Durkheim Bourdieu en passant par Foucault,ANSO-066,french,Autumn,6,elective,other
Anthropology and Tourism: Encounters through Difference and Inequality,ANSO-141,english,Autumn,6,elective,inequality
Apocalypse Then and Now: Advanced Research Seminar in Understanding Systemic Collapse and Adaptation,MINT-171,english,Autumn,6,elective,other
Applying Organisation Theories to Practice,IA-091,english,Autumn,6,elective,theory
Authoritarianism and Democracy in Latin America:  From Independence to the 2010s,HI-124,english,Autumn,3,elective,other
Behavioral Economics,EI-111,english,Autumn,6,elective,other
Between Universalism and Exclusion: The History and Politics of Human Rights,MINT-204,english,Autumn,6,elective,human rights
Biodiversite : entre science et politique,MINT-037,french,Autumn,6,elective,other
"Capital: Past, Present, Future",HPI-132,english,Autumn,6,elective,other
"Cities, Conflict, and Development",DE-151,english,Autumn,6,elective,conflict
City Diplomacy: the Rise of Cities as Global Actors,MINT-206,english,Autumn,6,elective,other
Climate Change and International Law,DI-085,english,Autumn,6,elective,sustainability
Climates and History: What the Past Can Tell Us about the Present and the Future,MINT-135,english,Autumn,6,elective,sustainability
Compliance with International Law: Theories and Mechanisms,DI-128,english,Autumn,6,elective,theory
Conservation and Sustainable Development,MINT-100,english,Autumn,3,elective,sustainability
"Cooperation and Competition, Security in Europe and the Role of the OSCE",MINT-169,english,Autumn,3,elective,other
Corruption Histories,DE-147,english,Autumn,6,elective,other
Creating and Delivering an Impactful Presentation,MINT-233,english,Autumn,3,workshop,NA
Crisis Communication,MINT-0271,english,Autumn,3,workshop,NA
