"","id","org","year","donor","donor_specific","type_donor","internal_donor","donor_continent","amount_nominal","amount_currency2","amount_currency","earmarked","hq","full_series","granularity","source","page","accessed","link","comment","assign","value","amount_nominal_usd","operations","issue_area","issue_area2","issue_area3","staff","comments","staff_quantile","recipient_quantile"
"1",2627,"ICRC",2009,"Poland",NA,"public","no","Europe",1027204,"CHF","CHF",NA,NA,TRUE,"very granular","ar_icrc_2009","450-55",2022-02-22,"https://blogs.icrc.org/cross-files/annual-reports/",NA,"livio",1.088142,943998.117892702,"field","Humanitarian Law and Action","Peace","Humanitarian",20000,"Staff: as of 2022","1st_quantile","2nd_quantile"
"2",8309,"IOM",2006,"UN","voluntary contribution","public","no",NA,43050622,"USD","USD",NA,NA,TRUE,"very granular","iom_fr_2006","38",2022-02-14,"https://www.iom.int/resources/mc/2223-financial-report-year-ended-31-december-2006",NA,"remo",1,43050622,"field","Humanitarian Law and Action","Peace","Migration",13844,"Staff: 95% based in the field; as of 2019","1st_quantile","1st_quantile"
"3",25919,"WIPO",2011,"Panama",NA,"public","no","Latin America",5697,"CHF","CHF",NA,NA,TRUE,"very granular","wipo_pbr_2010-1","222-225",2022-01-13,"https://www.wipo.int/export/sites/www/about-wipo/en/budget/pdf/budget_2010_2011.pdf",NA,"R",0.888042,6415.23711716338,"non-field","Labour, Economic Affairs, Science","Prosperity","Patents",1162,"Staff: as of Sept. 2018","3rd_quantile","4th_quantile"
"4",13954,"UNHCR",2010,"Amitie sans Frontieres","Monaco","private","no",NA,57720,"USD","USD",NA,NA,TRUE,"very granular","unhcr_fr_2010","85-88",2021-12-25,"https://www.unhcr.org/publications/fundraising/4dfdbf3915/unhcr-global-report-2010-funding-unhcrs-programmes.html",NA,"R",1,57720,"field","Humanitarian Law and Action","Peace","Migration",17878,"Staff: 87% based in the field; as of Dec. 2020","1st_quantile","1st_quantile"
"5",17494,"UNOG",2010,"Azerbaijan","assessed contribution","public","no","Asia",31777.8662191802,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2010","8-13",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2010-11","remo",1,31777.8662191802,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"6",6983,"ILO",2018,"Malaysia",NA,"public","no","Asia",1224560,"CHF","CHF",NA,NA,TRUE,"very granular","ilo_fr_2018","75-81",2022-01-04,"https://www.ilo.org/wcmsp5/groups/public/---ed_norm/---relconf/documents/meetingdocument/wcms_695423.pdf","Assessed contributions according to UN allocations assessment","remo",0.977883,1252256.14925303,"non-field","Labour, Economic Affairs, Science","Prosperity","Labor Conditions",3381,"Staff: as of Dec. 2020","2nd_quantile","2nd_quantile"
"7",20428,"WHO",2004,"Nigeria",NA,"public","no","Africa",233720,"USD","USD",NA,NA,TRUE,"very granular","who_fr_2004-5","49-53",2022-01-10,"https://apps.who.int/iris/bitstream/handle/10665/21317/A59_28-en.pdf?sequence=1&isAllowed=y","Assessed contributions; covering 2004 and 2005","R",1,233720,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"8",31739,"WHO",2016,"Republic of Korea","assessed contributions","public","no",NA,27870,"USD","USD",NA,NA,TRUE,"very granular","CEB Portal","-",2022-04-09,"https://unsceb.org/fs-revenue-government-donor",NA,"livio",1,27870,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"9",11340,"OHCHR",2008,"Hungary",NA,"public","no","Europe",29762,"USD","USD",TRUE,NA,TRUE,"very granular","ohchr_ar_2008","174-179",2021-12-21,"https://www.ohchr.org/Documents/Press/OHCHR_Report_2008.pdf","current USD = USD as of time of report","remo",1,29762,"field","Humanitarian Law and Action","Peace","Human Rights",905,"Staff: considered are only professional (P) and higher categories; as of June 2020; issue_area from https://www.geneve-int.ch/resources-topic","3rd_quantile","4th_quantile"
"10",10194,"IOM",2018,"Jordan","assessed contribution","public","no","Asia",10898,"CHF","CHF",NA,NA,TRUE,"very granular","iom_fr_2018","55-61",2022-02-15,"https://governingbodies.iom.int/system/files/en/council/110/C-110-3%20-%20Financial%20Report%202018.pdf","outstanding contributions were deducted","remo",0.977883,11144.4825198925,"field","Humanitarian Law and Action","Peace","Migration",13844,"Staff: 95% based in the field; as of 2019","1st_quantile","1st_quantile"
