"","class","code","language","semester","ects","type","topic"
"1","Advanced International Trade A: Neoclassical Trade Theories","EI-080","english","Autumn",3,"elective","trade"
"2","Advanced International Trade A: New Trade Theories","EI-081","english","Autumn",3,"elective","trade"
"3","Advocacy for Policy Change","MINT-181","english","Autumn",3,"elective","other"
"4","AI and Politics","MINT-2272","english","Autumn",3,"elective","other"
"5","AI and Politics","MINT-2271","english","Autumn",3,"elective","other"
"6","An International History of Racism","HI-123","english","Autumn",6,"elective","inequality"
"7","Anthropological Perspectives on Reproductive Politics in the 21st Century","ANSO-099","english","Autumn",6,"elective","other"
"8","Anthropologie francophone: De Durkheim Bourdieu en passant par Foucault","ANSO-066","french","Autumn",6,"elective","other"
"9","Anthropology and Tourism: Encounters through Difference and Inequality","ANSO-141","english","Autumn",6,"elective","inequality"
"10","Apocalypse Then and Now: Advanced Research Seminar in Understanding Systemic Collapse and Adaptation","MINT-171","english","Autumn",6,"elective","other"
"11","Applying Organisation Theories to Practice","IA-091","english","Autumn",6,"elective","theory"
"12","Authoritarianism and Democracy in Latin America:  From Independence to the 2010s","HI-124","english","Autumn",3,"elective","other"
"13","Behavioral Economics","EI-111","english","Autumn",6,"elective","other"
"14","Between Universalism and Exclusion: The History and Politics of Human Rights","MINT-204","english","Autumn",6,"elective","human rights"
"15","Biodiversite : entre science et politique","MINT-037","french","Autumn",6,"elective","other"
"16","Capital: Past, Present, Future","HPI-132","english","Autumn",6,"elective","other"
"17","Cities, Conflict, and Development","DE-151","english","Autumn",6,"elective","conflict"
"18","City Diplomacy: the Rise of Cities as Global Actors","MINT-206","english","Autumn",6,"elective","other"
"19","Climate Change and International Law","DI-085","english","Autumn",6,"elective","sustainability"
"20","Climates and History: What the Past Can Tell Us about the Present and the Future","MINT-135","english","Autumn",6,"elective","sustainability"
"21","Compliance with International Law: Theories and Mechanisms","DI-128","english","Autumn",6,"elective","theory"
"22","Conservation and Sustainable Development","MINT-100","english","Autumn",3,"elective","sustainability"
"23","Cooperation and Competition, Security in Europe and the Role of the OSCE","MINT-169","english","Autumn",3,"elective","other"
"24","Corruption Histories","DE-147","english","Autumn",6,"elective","other"
"25","Creating and Delivering an Impactful Presentation","MINT-233","english","Autumn",3,"workshop",NA
"26","Crisis Communication","MINT-0271","english","Autumn",3,"workshop",NA
"27","Critical Perspectives on Migration: Mobilities, Borders, and Transnational Connections","ANSO-142","english","Autumn",6,"elective","migration"
"28","Crowds and Publics","MINT-212","english","Autumn",6,"elective","other"
"29","Data Visualisation for International Policy","MINT-235","english","Autumn",3,"workshop",NA
"30","Demystifying DSGE Models","EI-074","english","Autumn",6,"elective","other"
"31","Design and Implementing Development Projects","MINT-2282","english","Autumn",3,"workshop",NA
