year,donor,type_donor,amount_nominal,issue_area
2007,Italy,public,19074876,Humanitarian Law and Action
2015,Denmark,public,14863463.48,Health
2011,Spain,public,4779105.042,"Labour, Economic Affairs, Science"
2020,Italy,public,32570000,Health
2018,Madagascar,public,11667.03992,"Labour, Economic Affairs, Science"
2011,India,public,50000,Humanitarian Law and Action
2021,Japan,public,17300000,Health
2011,Maldives,public,1603.527761,"Labour, Economic Affairs, Science"
2003,Thailand,public,304591.9099,Humanitarian Law and Action
2005,Kiribati,public,2162.511771,Peace
2003,Guinea,public,3981.211997,Peace
2015,Fondation du groupe Pictet,private,51954.47541,Humanitarian Law and Action
2018,Cote d'Ivoire,public,43060,Health
2005,Ethiopia,public,8650.047084,Peace
2012,India,public,155000,Humanitarian Law and Action
2003,Burkina Faso,public,2654.075803,Peace
2014,Schweizerische Nationale Versicherungs,private,163728.4683,Humanitarian Law and Action
2020,Burkina Faso,public,141500,Health
2018,Togo,public,4780,Health
2013,Cambodia,public,1580,Humanitarian Law and Action
2006,Monaco,public,5570.214638,Peace
2017,Brazil,public,8500,Health
2016,Ireland,public,1606685.245,"Labour, Economic Affairs, Science"
2018,"Macao, China",public,39000,Health
2015,Seychelles,public,2960.366009,"Labour, Economic Affairs, Science"
2018,NA,private,5686934,Humanitarian Law and Action
2008,Mozambique,public,32850.45564,"Labour, Economic Affairs, Science"
2001,Uganda,public,14962.53589,"Labour, Economic Affairs, Science"
2014,Croatia,public,523444.2794,"Labour, Economic Affairs, Science"
2018,Greece,public,5813803,Humanitarian Law and Action
2021,Village Water Filters,private,0.5,Health
2000,Maldives,public,1057.317285,Peace
2012,United Kingdom,public,1215201.496,"Labour, Economic Affairs, Science"
2001,Netherlands,public,484879.5489,Humanitarian Law and Action
2017,Kazakhstan,public,490689.5559,Peace
2016,Switzerland,public,372314.0186,Humanitarian Law and Action
2010,Uruguay,public,5000,Humanitarian Law and Action
2016,Angola,public,4250000,Health
2019,Cyprus,public,24332.46962,Humanitarian Law and Action
2020,Novartis Foundation,private,233500,Health
2013,Turkey,public,200000,Humanitarian Law and Action
2016,Indonesia,public,1100000,Health
2017,Gates Foundation,private,106600000,Health
2010,Italy,public,52300000,Health
2019,Richter Gedeon Vegyeszeti Gyar,private,1100000,Health
2014,Colombia,public,95206058,Humanitarian Law and Action
2002,Rimau Trust,private,27460.41818,Humanitarian Law and Action
2008,Georgia,public,29565.41008,"Labour, Economic Affairs, Science"
2017,Ireland,public,14641654,Humanitarian Law and Action
2012,Malta,public,489271,Humanitarian Law and Action
2013,Switzerland,public,4415632.04,"Labour, Economic Affairs, Science"
2016,NA,private,9667517,Humanitarian Law and Action
2017,Japan,public,41174407,Humanitarian Law and Action
2001,Egypt,public,84208.45157,Peace
2012,Canada,public,12380634.63,"Labour, Economic Affairs, Science"
2020,Comoros,public,1516.676519,"Labour, Economic Affairs, Science"
2015,NA,public,7262.196573,Humanitarian Law and Action
2000,Estonia,public,18192.33641,Humanitarian Law and Action
2017,Andorra,public,15414.39559,Peace
2016,Algeria,public,407739.2723,Peace
2017,International Agency for the Prevention of Blindness (IAPB),private,64500,Health
2007,Saint Lucia,public,6141.460188,"Labour, Economic Affairs, Science"
2005,Colombia,public,278288.147,"Labour, Economic Affairs, Science"
2017,Italy,public,42927860.86,Health
2004,Mexico,public,2879248.506,"Labour, Economic Affairs, Science"
2004,NA,private,215006752,Humanitarian Law and Action
2012,Belgium,public,99469,Humanitarian Law and Action
2010,Saint Lucia,public,2731.789826,"Labour, Economic Affairs, Science"
2001,Netherlands,public,104782,Humanitarian Law and Action
2018,NA,private,199921,"Labour, Economic Affairs, Science"
2001,San Marino,public,2079.253291,Peace
2018,Sri Lanka,public,5825.850332,"Labour, Economic Affairs, Science"
2011,Moldova,public,10000,Humanitarian Law and Action
2007,NA,private,5210109,Humanitarian Law and Action
2018,Lithuania,public,40225.67117,Humanitarian Law and Action
2009,Suriname,public,3627.283939,"Labour, Economic Affairs, Science"
